source,destination,type,segments
/feed-in-tarriffs-money-for-generating-electricity,/feed-in-tariffs,prefix,
/business-support-grant-wales,/business-finance-support,prefix,
/nationalinsurancecredits,/national-insurance-credits,prefix,
/claiming-benefits-move-travel-abroad,/claim-benefits-abroad,prefix,
/government/policy-advisory-groups,/government/groups,prefix,
/creditor-bankruptcy-petitions,/apply-to-bankrupt-someone,prefix,
/disabilitywork,/looking-for-work-if-disabled,prefix,
/start-your-business-newport-and-gwent,/business-finance-support,prefix,
/changes-affect-child-benefit,/child-benefit-child-parent-dies,prefix,
/make-child-maintenance-deductions-employee-pay,/child-maintenance-for-employers,prefix,
/owning-river-canal-boat,/owning-a-boat,prefix,
/sick-leave-pay-employees,/employers-sick-pay,prefix,
/crb-criminal-records-bureau-check,/disclosure-barring-service-check,prefix,
/driving-if-disabled,/driving-medical-conditions,prefix,
/government/world/organisations/british-office-for-somalia,/world/organisations/british-embassy-mogadishu,prefix,
/looking-for-work-if-youre-disabled,/looking-for-work-if-disabled,prefix,
/statepension,/state-pension,prefix,
/carbon-trust-programme-northern-ireland,/business-finance-support,prefix,
/pensioncredit,/pension-credit,prefix,
/voluntarynationalinsurance,/voluntary-national-insurance-contributions,prefix,
/council-tax-benefit,/apply-council-tax-reduction,prefix,
/nipso-funds,/business-finance-support,prefix,
/startup,/set-up-business,prefix,
/maternity-leave-pay-employees,/employers-maternity-pay-leave,prefix,
/find-family-information-service,/find-registered-childminder,prefix,
/statutory-sick-pay-ssp,/statutory-sick-pay,prefix,
/childmaintenance,/child-maintenance,prefix,
/organise-fete-street-party,/organise-street-party,prefix,
/childtrustfund,/child-trust-funds,prefix,
/government/policy-teams,/government/groups,prefix,
/maternity-benefits,/pay-leave-for-parents,prefix,
/sickpay,/statutory-sick-pay,prefix,
/uk-welcomes-business,/set-up-business,prefix,
/your-right-to-minimum-wage,/national-minimum-wage,prefix,
/find-atf-vosa-test-station,/find-atf-dvsa-test-station,prefix,
/paye-forms-p45-p46-p60-p11d,/paye-forms-p45-p60-p11d,prefix,
/expenses-and-benefits-sporting-recreational-facilities,/expenses-benefits-sporting-recreational-facilities,prefix,
/driving-in-great-britain-on-non-gb-licence,/driving-nongb-licence,prefix,
/find-vosa-test-station,/find-atf-dvsa-test-station,prefix,
/paternity-leave-pay-employees,/employers-paternity-pay-leave,prefix,
